1100015;"Alta Floresta D Oeste";"RO";"";""
1100023;"Ariquemes";"RO";"-9.905.711";"-63.032.516"
1100031;"Cabixi";"RO";"-13.494.479";"-60.552.032"
1100049;"Cacoal";"RO";"-11.434.271";"-61.456.167"
1100056;"Cerejeiras";"RO";"-13.186.987";"-60.816.836"
1100064;"Colorado do Oeste";"RO";"-13.117.431";"-60.545.428"
1100072;"Corumbiara";"RO";"-12.955.111";"-60.894.732"
1100080;"Costa Marques";"RO";"-12.436.715";"-6.422.797"
1100098;"Espigão D Oeste";"RO";"";""
1100106;"Guajará-Mirim";"RO";"-10.788.927";"-65.329.566"
1100114;"Jaru";"RO";"-10.431.826";"-62.478.769"
1100122;"Ji-Paraná";"RO";"-10.877.741";"-61.932.152"
1100130;"Machadinho D  &Oeste";"RO";"";""
1100148;"Nova Brasilândia D Oeste";"RO";"";""
1100155;"Ouro Preto do Oeste";"RO";"-10.716.717";"-62.256.532"
1100189;"Pimenta Bueno";"RO";"-11.671.959";"-61.197.963"
1100205;"Porto Velho";"RO";"-8.760.772";"-63.899.902"
1100254;"Presidente Médici";"RO";"-11.168.974";"-61.898.617"
1100262;"Rio Crespo";"RO";"-9.699.648";"-62.901.127"
1100288;"Rolim de Moura";"RO";"-11.727.071";"-61.771.411"
1100296;"Santa Luzia D Oeste";"RO";"";""
1100304;"Vilhena";"RO";"-12.750.183";"-60.148.847"
1100320;"São Miguel do Guaporé";"RO";"-1.169.527";"-62.719.222"
1100338;"Nova Mamoré";"RO";"-10.407.697";"-65.334.596"
1100346;"Alvorada D Oeste";"RO";"";""
1100379;"Alto Alegre dos Parecis";"RO";"-12.131.955";"-61.834.979"
1100403;"Alto Paraíso";"RO";"-9.714.294";"-63.318.834"
1100452;"Buritis";"RO";"-10.194.272";"-63.832.438"
1100502;"Novo Horizonte do Oeste";"RO";"-11.696.145";"-61.995.137"
1100601;"Cacaulândia";"RO";"-10.348.981";"-62.904.328"
1100700;"Campo Novo de Rondônia";"RO";"-1.057.125";"-63.626.551"
1100809;"Candeias do Jamari";"RO";"-8.790.696";"-63.700.502"
1100908;"Castanheiras";"RO";"-11.425.304";"-61.948.228"
1100924;"Chupinguaia";"RO";"-12.561.115";"-60.887.694"
1100940;"Cujubim";"RO";"-9.360.655";"-62.584.579"
1101005;"Governador Jorge Teixeira";"RO";"-10.610.031";"-62.737.071"
1101104;"Itapuã do Oeste";"RO";"-9.196.871";"-63.180.878"
1101203;"Ministro Andreazza";"RO";"-1.119.596";"-61.517.437"
1101302;"Mirante da Serra";"RO";"-11.028.967";"-62.669.593"
1101401;"Monte Negro";"RO";"-10.245.823";"-63.289.988"
1101435;"Nova União";"RO";"-1.090.681";"-62.556.368"
1101450;"Parecis";"RO";"-12.175.416";"-61.603.225"
1101468;"Pimenteiras do Oeste";"RO";"-13.482.271";"-61.047.052"
1101476;"Primavera de Rondônia";"RO";"-11.829.456";"-61.315.336"
1101484;"São Felipe D Oeste";"RO";"";""
1101492;"São Francisco do Guaporé";"RO";"-12.051.977";"-63.567.968"
1101500;"Seringueiras";"RO";"-11.805.454";"-63.018.234"
1101559;"Teixeirópolis";"RO";"-10.905.601";"-62.241.993"
1101609;"Theobroma";"RO";"-1.024.834";"-62.353.796"
1101708;"Urupá";"RO";"-11.126.123";"-62.363.895"
1101757;"Vale do Anari";"RO";"-9.862.155";"-62.187.649"
1101807;"Vale do Paraíso";"RO";"-10.446.543";"-62.135.182"
1200013;"Acrelândia";"AC";"-9.825.808";"-66.897.166"
1200054;"Assis Brasil";"AC";"-10.929.765";"-69.573.794"
1200104;"Brasiléia";"AC";"-10.994.994";"-68.749.696"
1200138;"Bujari";"AC";"-9.815.277";"-67.955.029"
1200179;"Capixaba";"AC";"-10.566.031";"-67.686.006"
1200203;"Cruzeiro do Sul";"AC";"-7.627.625";"-72.675.582"
1200252;"Epitaciolândia";"AC";"-11.018.771";"-68.734.109"
1200302;"Feijó";"AC";"-8.170.536";"-70.350.973"
1200328;"Jordão";"AC";"-9.430.912";"-71.897.391"
1200336;"Mâncio Lima";"AC";"-7.616.575";"-72.899.708"
1200344;"Manoel Urbano";"AC";"-8.832.911";"-69.267.862"
1200351;"Marechal Thaumaturgo";"AC";"-8.938.983";"-72.799.704"
1200385;"Plácido de Castro";"AC";"-1.028.064";"-67.137.133"
1200393;"Porto Walter";"AC";"-8.263.233";"-72.753.747"
1200401;"Rio Branco";"AC";"-997.499";"-67.824.348"
1200427;"Rodrigues Alves";"AC";"-7.738.638";"-72.661.015"
1200435;"Santa Rosa do Purus";"AC";"-9.446.515";"-7.049.025"
1200450;"Senador Guiomard";"AC";"-10.149.686";"-67.736.185"
1200500;"Sena Madureira";"AC";"-9.063.499";"-68.671.278"
1200609;"Tarauacá";"AC";"-8.156.975";"-70.772.154"
1200708;"Xapuri";"AC";"-10.651.598";"-68.496.857"
1200807;"Porto Acre";"AC";"-9.581.378";"-67.547.815"
1300029;"Alvarães";"AM";"-322.727";"-64.800.654"
1300060;"Amaturá";"AM";"-3.374.547";"-68.200.456"
1300086;"Anamã";"AM";"-3.566.966";"-61.396.337"
1300102;"Anori";"AM";"-3.746.027";"-61.657.485"
1300144;"Apuí";"AM";"-7.194.091";"-59.895.956"
1300201;"Atalaia do Norte";"AM";"-4.370.551";"-701.967"
1300300;"Autazes";"AM";"-3.585.743";"-59.125.589"
1300409;"Barcelos";"AM";"-0.983373";"-62.931.053"
1300508;"Barreirinha";"AM";"-2.798.863";"-57.067.897"
1300607;"Benjamin Constant";"AM";"-437.768";"-70.034.157"
1300631;"Beruri";"AM";"-3.898.736";"-6.136.162"
1300680;"Boa Vista do Ramos";"AM";"-2.974.087";"-57.587.333"
1300706;"Boca do Acre";"AM";"-8.742.322";"-67.391.926"
1300805;"Borba";"AM";"-4.391.539";"-5.958.738"
1300839;"Caapiranga";"AM";"-3.315.372";"-61.220.557"
1300904;"Canutama";"AM";"-652.582";"-6.439.528"
1301001;"Carauari";"AM";"-4.881.605";"-66.908.559"
1301100;"Careiro";"AM";"-3.768.027";"-60.369.046"
1301159;"Careiro da Várzea";"AM";"-3.196.979";"-5.979.639"
1301209;"Coari";"AM";"-4.094.121";"-63.144.091"
1301308;"Codajás";"AM";"-3.830.528";"-62.065.787"
1301407;"Eirunepé";"AM";"-6.656.767";"-6.986.616"
1301506;"Envira";"AM";"-7.437.889";"-70.028.143"
1301605;"Fonte Boa";"AM";"-2.523.424";"-66.094.212"
1301654;"Guajará";"AM";"-7.537.971";"-72.590.713"
1301704;"Humaitá";"AM";"-7.511.712";"-63.032.743"
1301803;"Ipixuna";"AM";"-7.047.909";"-71.693.426"
1301852;"Iranduba";"AM";"-3.274.792";"-60.189.953"
1301902;"Itacoatiara";"AM";"-3.138.607";"-58.444.874"
1301951;"Itamarati";"AM";"-6.424.591";"-68.260.027"
1302009;"Itapiranga";"AM";"-274.081";"-58.029.257"
1302108;"Japurá";"AM";"-1.882.366";"-66.929.051"
1302207;"Juruá";"AM";"-3.484.384";"-66.071.795"
1302306;"Jutaí";"AM";"-2.758.144";"-6.675.947"
1302405;"Lábrea";"AM";"-7.264.133";"-64.794.765"
1302504;"Manacapuru";"AM";"-3.290.657";"-60.621.581"
1302553;"Manaquiri";"AM";"-3.440.784";"-60.461.239"
1302603;"Manaus";"AM";"-3.118.662";"-6.002.123"
1302702;"Manicoré";"AM";"-5.804.618";"-61.289.483"
1302801;"Maraã";"AM";"-1.853.129";"-65.572.995"
1302900;"Maués";"AM";"-3.392.891";"-57.706.731"
1303007;"Nhamundá";"AM";"-2.207.932";"-56.711.151"
1303106;"Nova Olinda do Norte";"AM";"-3.900.367";"-5.909.404"
1303205;"Novo Airão";"AM";"-2.636.371";"-60.943.404"
1303304;"Novo Aripuanã";"AM";"-5.125.929";"-60.373.179"
1303403;"Parintins";"AM";"-2.637.412";"-56.729.045"
1303502;"Pauini";"AM";"-7.713.109";"-66.992.039"
1303536;"Presidente Figueiredo";"AM";"-2.029.813";"-6.002.338"
1303569;"Rio Preto da Eva";"AM";"-2.704.497";"-59.685.793"
1303601;"Santa Isabel do Rio Negro";"AM";"-0.410824";"-65.009.205"
1303700;"Santo Antônio do Içá";"AM";"-3.095.443";"-67.946.279"
1303809;"São Gabriel da Cachoeira";"AM";"-0.11909";"-67.084.042"
1303908;"São Paulo de Olivença";"AM";"-3.472.919";"-68.964.581"
1303957;"São Sebastião do Uatumã";"AM";"-2.559.147";"-57.873.049"
1304005;"Silves";"AM";"-281.748";"-58.248.031"
1304062;"Tabatinga";"AM";"-4.241.597";"-69.938.273"
1304104;"Tapauá";"AM";"-5.620.855";"-631.808"
1304203;"Tefé";"AM";"-3.368.219";"-64.719.343"
1304237;"Tonantins";"AM";"-2.865.825";"-67.791.904"
1304260;"Uarini";"AM";"-2.996.087";"-65.113.298"
1304302;"Urucará";"AM";"-2.529.364";"-57.753.797"
1304401;"Urucurituba";"AM";"-3.128.412";"-58.149.637"
1400027;"Amajari";"RR";"3.645.714";"-61.369.245"
1400050;"Alto Alegre";"RR";"298.858";"-61.307.167"
1400100;"Boa Vista";"RR";"2.823.842";"-60.675.328"
1400159;"Bonfim";"RR";"3.361.614";"-598.333"
1400175;"Cantá";"RR";"260.994";"-60.605.827"
1400209;"Caracaraí";"RR";"1.827.659";"-61.130.378"
1400233;"Caroebe";"RR";"0.884203";"-59.695.886"
1400282;"Iracema";"RR";"2.183.046";"-61.041.546"
1400308;"Mucajaí";"RR";"2.439.982";"-60.909.619"
1400407;"Normandia";"RR";"3.885.305";"-59.620.402"
1400456;"Pacaraima";"RR";"4.479.895";"-61.147.695"
1400472;"Rorainópolis";"RR";"0.939956";"-60.438.923"
1400506;"São João da Baliza";"RR";"0.951659";"-59.913.293"
1400605;"São Luiz";"RR";"1.010.193";"-60.041.894"
1400704;"Uiramutã";"RR";"4.603.144";"-60.181.464"
1500107;"Abaetetuba";"PA";"-1.721.828";"-48.878.843"
1500131;"Abel Figueiredo";"PA";"-4.953.327";"-48.393.285"
1500206;"Acará";"PA";"-1.953.833";"-48.198.513"
1500305;"Afuá";"PA";"-0.154874";"-5.038.613"
1500347;"Água Azul do Norte";"PA";"-6.790.534";"-50.479.068"
1500404;"Alenquer";"PA";"-1.946.229";"-54.738.355"
1500503;"Almeirim";"PA";"-1.520.968";"-52.581.573"
1500602;"Altamira";"PA";"-3.204.065";"-52.209.961"
1500701;"Anajás";"PA";"-0.996811";"-499.354"
1500800;"Ananindeua";"PA";"-1.363.914";"-48.374.298"
1500859;"Anapu";"PA";"-3.469.847";"-51.200.264"
1500909;"Augusto Corrêa";"PA";"-1.021.634";"-46.645.551"
1500958;"Aurora do Pará";"PA";"-2.148.976";"-47.567.712"
1501006;"Aveiro";"PA";"-3.608.415";"-5.531.994"
1501105;"Bagre";"PA";"-1.900.565";"-5.019.869"
1501204;"Baião";"PA";"-2.790.212";"-49.669.443"
1501253;"Bannach";"PA";"-7.347.786";"-50.395.853"
1501303;"Barcarena";"PA";"-1.511.872";"-48.619.529"
1501402;"Belém";"PA";"-1.455.396";"-48.489.756"
1501451;"Belterra";"PA";"-2.636.091";"-54.937.392"
1501501;"Benevides";"PA";"-1.361.829";"-48.243.408"
